Reference	Year	Sample.ID	SiO2.liq	TiO2.liq	Al2O3.liq	FeOt.liq	MnO.liq	MgO.liq	CaO.liq	Na2O.liq	K2O.liq	Cr2O3.liq	P2O5.liq	H2O.liq	SiO2.cpx	TiO2.cpx	Al2O3.cpx	FeOt.cpx	MnO.cpx	MgO.cpx	CaO.cpx	Na2O.cpx	K2O.cpx	Cr2O3.cpx	P_GPa	T_K
"Almeev, R.A., Holtz, F., Koepke, J., Parat, F., Botcharnikov, R.E. (2007)"	2007	146	50.1	1.54	14.78	11.35	0.23	7.52	11.49	2.4	0.09				50.4	0.62	6.72	7.21	0.19	15.55	17.27	0.61	0.01		0.2047	1448.15
"Almeev, R.A., Holtz, F., Koepke, J., Parat, F., Botcharnikov, R.E. (2007)"	2007	62	50.4	1.19	15.76	9.52	0.18	7.98	12.2	2.3	0.07				51.1	0.61	5.31	7.68	0.15	16.36	16.34	0.81	0.04		0.2037	1443.15
Andujar and Scaillet (2012)	2012	MB-114	60	0.7	19.7	3.05	0.13	0.36	0.63	9.8	5.7	0	0	2.79	50.9	1.27	1.88	12	0.95	11	21.2	0.74	0	0	0.05	1123.5
Andujar and Scaillet (2012)	2012	MB-117	59.4	0.7	19.4	3.24	0.31	0.37	0.65	10.2	5.8	0	0	1.98	49.9	1.1	2.34	11.6	1.46	11.3	21.4	0.86	0	0	0.05	1123.5
Andujar and Scaillet (2012)	2012	MB-22	60.7	0.67	19.4	3.1	0.16	0.28	0.6	9.8	5.34	0	0	3.12	52.3	0.86	0.85	11.3	1.14	11.9	20.8	0.92	0	0	0.1	1123.5
Andujar and Scaillet (2012)	2012	MB-43	60.74	0.66	19.7	3.09	0.19	0.28	0.61	9.4	5.4	0	0	2.79	51.6	1.35	1.82	11.4	0.99	10.5	20.8	1.54	0.1	0	0.05	1123.5
Andujar and Scaillet (2012)	2012	MB-44	58.9	0.62	20.4	3.18	0.22	0.32	0.78	10.4	5.24	0	0	2.55	50.2	2.13	2.45	12.3	1.03	9.6	20.5	1.68	0	0	0.05	1123.5
Andujar et al. (2008)	2008	18	60.5	0.75	19.7	3	0.23	0.3	0.5	10.1	4.9	0	0	0.9	48.7	3.13	3.12	12.24	1.03	9.53	17.68	3.67	0.08	0	0.05	1123.5
Andujar et al. (2008)	2008	20	62.4	0.38	20.3	2.4	0.22	0.14	0.4	9.6	4.2	0	0	9.9	47.4	2.51	3.62	13.83	1.78	8.13	16.4	4.37	0.04	0	0.25	1048.5
Andujar et al. (2008)	2008	23	61.1	0.12	20.4	2	0.24	0.07	0.16	9.7	6.2	0	0	10.8	47.4	2.95	4.02	15.33	2.42	6.09	14.02	5.52	0.05	0	0.25	973.5
Andujar et al. (2008)	2008	25	61.7	0.51	20	2.5	0.28	0.14	0.41	9.9	4.7	0	0	6.8	48.5	2.09	3.46	13.83	1.57	8.51	17.14	3.8	0.09	0	0.2	1073.5
Andujar et al. (2008)	2008	27b	61	0.4	20.7	2.5	0.25	0.08	0.32	10.6	4.1	0	0	9.6	46.1	4.23	3.78	18.91	1.79	3.92	16.72	3.77	0.03	0	0.2	1023.5
Andujar et al. (2008)	2008	28b	60.1	0.7	19.8	3.2	0.29	0.21	0.36	10.8	4.5	0	0	4.1	47.4	3.61	3.76	14.91	1.27	7.62	16.02	4.25	0.05	0	0.1	1073.5
Andujar et al. (2008)	2008	35	60.9	0.67	19.6	3.1	0.28	0.23	0.39	9.4	5.4	0	0	3.8	45.7	3.01	3.94	15.49	1.26	7.95	16.23	4.38	0.09	0	0.1	1098.5
Andujar et al. (2008)	2008	38	62.6	0.19	20.6	2.4	0.21	0.06	0.23	8.6	5	0	0	9.6	45.9	3.49	4.17	15.8	1.67	7.03	15.57	4.81	0.04	0	0.25	998.5
Andujar et al. (2008)	2008	43	61.9	0.57	19.9	2.6	0.21	0.19	0.44	8.9	5.3	0	0	2	47.3	2.92	3.95	13.68	1.23	8.64	17.09	4.15	0.03	0	0.2	1103.5
Andujar et al. (2008)	2008	44	61.5	0.63	19.8	2.7	0.28	0.32	0.6	8.8	5.4	0	0	2	48.9	1.79	3.16	10.75	1.23	10.81	18.26	3.37	0.12	0	0.2	1133.5
Andujar et al. (2008)	2008	45	61	0.47	20.5	2.8	0.23	0.17	0.35	9.5	5	0	0	5.6	47.1	3.73	3.68	14.56	1.31	7.2	15.42	4.95	0.1	0	0.2	1048.5
Andujar et al. (2010)	2010	LN-21	61.5	0.5	20.2	2.07	0.15	0.22	0.76	9.1	5.5	0	0	3.9	49.9	1.3	3.21	8.8	0.88	12.8	21.3	1.73	0	0	0.2	1160.5
Andujar et al. (2010)	2010	LN-23	61.4	0.49	19.9	2.31	0.16	0.26	0.73	9.1	5.7	0	0	4.1	49.2	1.44	3.86	10.62	1.04	11.3	20.7	1.87	0	0	0.1	1160.5
